X99.7,Not known
X99.8,Outpatient procedure carried out but no appropriate OPCS-4 code available
X99.9,No outpatient procedure carried out
A01.3,Partial lobectomy of brain
A01.8,Other specified major excision of tissue of brain
A01.9,Unspecified major excision of tissue of brain
A02.4,Excision of lesion of tissue of occipital lobe of brain
A02.5,Excision of lesion of tissue of cerebellum
A03.4,Stereotactic ablation of tissue of brain stem
A03.9,Unspecified stereotactic ablation of tissue of brain
A04.3,Open biopsy of lesion of tissue of parietal lobe of brain
A07.2,Removal of foreign body from tissue of brain
A07.5,Multiple subpial transections
A07.6,Complete callosotomy
A07.9,Unspecified other open operations on tissue of brain
A08.2,Biopsy of lesion of tissue of temporal lobe of brain NEC
A08.3,Biopsy of lesion of tissue of parietal lobe of brain NEC
A09.2,Maintenance of neurostimulator in brain
A09.3,Removal of neurostimulator from brain
A10.2,Aspiration of abscess of tissue of brain
A10.7,Stereotactic radiosurgery on tissue of brain
A11.1,Placement of depth electrodes for electroencephalography
A11.2,Placement of surface electrodes for electroencephalography
A12.2,Creation of ventriculovascular anastomosis
A12.3,Creation of ventriculopleural shunt
A12.8,Other specified creation of connection from ventricle of brain
A12.9,Unspecified creation of connection from ventricle of brain
A13.2,Maintenance of distal catheter of cerebroventricular shunt
A14.1,Renewal of cerebroventricular shunt
A14.4,Irrigation of cerebroventricular shunt
A14.5,Attention to cerebroventricular shunt NEC
A14.9,Unspecified other operations on connection from ventricle of brain
A16.9,Unspecified other open operations on ventricle of brain
A18.1,Diagnostic endoscopic examination of ventricle of brain and biopsy of lesion of ventricle of brain
A18.9,Unspecified diagnostic endoscopic examination of ventricle of brain
A20.2,Ventriculography of brain
A20.8,Other specified other operations on ventricle of brain
A25.3,Intracranial transection of trigeminal nerve (v)
A26.3,Intracranial destruction of trigeminal nerve (v)
A26.8,Intracranial destruction of specified cranial nerve NEC
A27.8,Other specified extracranial extirpation of vagus nerve (x)
A28.1,Extracranial transection of trigeminal nerve (v) NEC
A28.8,Other specified extracranial extirpation of other cranial nerve
A28.9,Unspecified extracranial extirpation of other cranial nerve
A33.1,Introduction of neurostimulator into cranial nerve
A33.2,Maintenance of neurostimulator in cranial nerve
A33.8,Other specified neurostimulation of cranial nerve
A33.9,Unspecified neurostimulation of cranial nerve
A34.3,Exploration of trigeminal nerve (v)
A36.5,Denervation of trigeminal nerve (v)
A36.8,Other specified other operations on cranial nerve
A36.9,Unspecified other operations on cranial nerve
A38.2,Extirpation of lesion of meninges of sphenoidal ridge of cranium
